question_id,kla,session,question_number,question_type,date,ministry,title_mal,mla_names,question_body_mal,answer_pdf_url,source_url,mla_name_eng,mla_party_eng,mla_constituency_eng,mla_party_mal,mla_constituency_mal
15-13-1,15,13,1,starred,2025-01-23,starred,വയനാട് പാക്കേജിന് ലഭിച്ച തുക,ശ്രീ. കുറുക്കോളി മൊയ്തീൻ ശ്രീ. എ. കെ. എം. അഷ്റഫ് ശ്രീ. എൻ. എ. നെല്ലിക്കുന്ന് ഡോ. എം. കെ. മുനീർ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു മുഖ്യമന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) 2024 ജൂലൈ 30-ന് ശേഷം മുഖ്യമന്ത്രിയുടെ ദുരിതാശ്വാസനിധിയിലേക്ക് ലഭിക്കുന്ന തുക വയനാട്ടിലെ ഉരുൾപൊട്ടൽ ദുരിതബാധിതർക്കായി വിനിയോഗിക്കാൻ തീരുമാനിച്ചിരുന്നോ; വ്യക്തമാക്കുമോ; ( ബി ) വയനാട് പാക്കേജിനായി ഇതുവരെ ലഭിച്ച തുകയുടെ വിശദാംശം നൽകുമോ; ( സി ) ഈ നൂറ്റാണ്ടിലെ ഏറ്റവും വലിയ ദുരന്തത്തിനിരയായവരുടെ പുനരധിവാസത്തിന് പദ്ധതികൾ ആവിഷ്ക്കരിച്ചിട്ടുണ്ടോ; വിശദമാക്കുമോ; ( ഡി ) വയനാട് പാക്കേജിനായി സന്നദ്ധസംഘടനകളിൽ നിന്നും വ്യക്തികളിൽനിന്നും കേന്ദ്ര സർക്കാരിൽനിന്നും ധനസഹായം ലഭിച്ചിട്ടുണ്ടോ; വിശദാംശം നൽകുമോ? എക്സൈസ് വിഭാഗത്തിന്റെ പ്രവർത്തനങ്ങള്‍,,http://www.niyamasabha.org/codes/15kla/session_13/ans/s00001-230125-13-15.pdf,http://www.niyamasabha.org/codes/15kla/session_13/qns/html/s_230125(01-30).html,,,,,
15-13-2,15,13,2,starred,2025-01-23,starred,എക്സൈസ് വിഭാഗത്തിന്റെ പ്രവർത്തനങ്ങള്‍,ശ്രീ. സേവ്യര്‍ ചിറ്റിലപ്പിള്ളി ശ്രീ. പി. ടി. എ. റഹീം ശ്രീ. കെ. പ്രേംകുമാര്‍ ശ്രീ. പി.വി. ശ്രീനിജിൻ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു തദ്ദേശ സ്വയംഭരണ - എക്സൈസ്‌ - പാര്‍ലമെന്ററികാര്യ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) എക്സൈസ് വിഭാഗത്തെ ആധുനികവത്കരിക്കുന്നതിന് സ്വീകരിച്ചുവരുന്ന നടപടികൾ എന്തെല്ലാമാണെന്ന് അറിയിക്കുമോ; ( ബി ) ഈ സര്‍ക്കാരിന്റെ കാലയളവില്‍ ഇതുവരെ എക്സൈസ് വിഭാഗം പിടിച്ചെടുത്ത മദ്യത്തിന്റെയും മയക്കുമരുന്നുകളുടെയും വിശദാംശം നല്‍കാമോ; ( സി ) പിടിച്ചെടുക്കപ്പെട്ട ലഹരി വസ്തുക്കള്‍ നശിപ്പിക്കുന്നതിന് എന്തെല്ലാം നടപടികളാണ് സ്വീകരിച്ചുവരുന്നതെന്ന് വെളിപ്പെടുത്താമോ; ( ഡി ) പ്രസ്തുത കാലയളവില്‍ എക്സൈസ് വിഭാഗം ഇതുസംബന്ധിച്ച് എത്ര കേസുകളെടുത്തിട്ടുണ്ടെന്നും അതില്‍ എത്ര പ്രതികളെ കസ്റ്റഡിയില്‍ എടുത്തിട്ടുണ്ടെന്നുമുള്ള വിവരങ്ങൾ നല്‍കാമോ? പോലീസ് സ്റ്റേഷനുകള്‍ക്ക് കേന്ദ്ര ആഭ്യന്തര മന്ത്രാലയത്തിന്റെ പുരസ്കാരം,,http://www.niyamasabha.org/codes/15kla/session_13/ans/s00002-230125-13-15.pdf,http://www.niyamasabha.org/codes/15kla/session_13/qns/html/s_230125(01-30).html,,,,,
15-13-3,15,13,3,starred,2025-01-23,starred,പോലീസ് സ്റ്റേഷനുകള്‍ക്ക് കേന്ദ്ര ആഭ്യന്തര മന്ത്രാലയത്തിന്റെ പുരസ്കാരം,ശ്രീ. എ. സി. മൊയ്‌തീൻ ശ്രീ. ഐ. ബി. സതീഷ് | ശ്രീ സി കെ ഹരീന്ദ്രന്‍ ശ്രീ. എം. എം. മണി : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു മുഖ്യമന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) ഈ സര്‍ക്കാരിന്റെ കാലത്ത് പോലീസ് സ്റ്റേഷനുകളുടെ അടിസ്ഥാന സൗകര്യവികസനത്തില്‍ കൈവരിച്ച പുരോഗതി വ്യക്തമാക്കുമോ; ( ബി ) ഈ കാലയളവില്‍ ഏതെല്ലാം പോലീസ് സ്റ്റേഷനുകള്‍ക്കാണ് കേന്ദ്ര ആഭ്യന്തര മന്ത്രാലയം ഏര്‍പ്പെടുത്തിയ പുരസ്കാരങ്ങള്‍ ലഭിച്ചതെന്നും പ്രസ്തുത പുരസ്കാരങ്ങള്‍ ഏതെല്ലാമെന്നും അറിയിക്കുമോ; ( സി ) പ്രസ്തുത പുരസ്കാരങ്ങള്‍ക്കായി കേന്ദ്ര ആഭ്യന്തര മന്ത്രാലയം പരിഗണിച്ച മാനദണ്ഡങ്ങൾ എന്തെല്ലാമാണെന്ന് വിശദമാക്കുമോ; ( ഡി ) കൂടുതല്‍ പോലീസ് സ്റ്റേഷനുകളെ പ്രസ്തുത മന്ത്രാലയത്തിന്റെ അംഗീകാരത്തിന് പ്രാപ്തമാക്കാന്‍ നടപടി സ്വീകരിച്ചിട്ടുണ്ടോ; വ്യക്തമാക്കുമോ? വാഹനാപകടങ്ങൾ തടയാന്‍ നടപടി,,http://www.niyamasabha.org/codes/15kla/session_13/ans/s00003-230125-13-15.pdf,http://www.niyamasabha.org/codes/15kla/session_13/qns/html/s_230125(01-30).html,,,,,
15-13-4,15,13,4,starred,2025-01-23,starred,വാഹനാപകടങ്ങൾ തടയാന്‍ നടപടി,"ശ്രീ . മുഹമ്മദ് മുഹസിൻ ശ്രീ. വി. ആർ. സുനിൽകുമാർ ശ്രീ. ഇ. ടി. ടൈസൺ മാസ്റ്റർ ശ്രീ. വാഴൂര്‍ സോമൻ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു മുഖ്യമന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) വർദ്ധിച്ചുവരുന്ന റോഡപകടങ്ങളുടെ കാര്യകാരണങ്ങളെക്കുറിച്ച് മുഖ്യമന്ത്രിതലത്തില്‍ അവലോകനം നടത്തി പ്രശ്നപരിഹാരത്തിന് സമഗ്രമായ ഇടപെടല്‍ നടത്തേണ്ടതിന്റെ ആവശ്യകത ശ്രദ്ധയിൽപ്പെട്ടിട്ടുണ്ടോ; വിശദമാക്കുമോ; ( ബി ) വാഹനാപകടങ്ങൾ തടയാൻ ദേശീയപാത, ഗതാഗത, പൊതുമരാമത്ത് അധികൃതരുമായി കൂടിയാലോചിച്ച് നടപടി സ്വീകരിക്കുമോ; വിശദമാക്കുമോ; ( സി ) മദ്യപിച്ച് വാഹനമോടിക്കുന്നതിനെതിരെ ജാഗ്രത പാലിക്കുന്നതിനും രാത്രികാല വാഹനപരിശോധന കർശനമാക്കുന്നതിനും ആഭ്യന്തര വകുപ്പ് നടപടികൾ സ്വീകരിച്ചിട്ടുണ്ടോ; എങ്കിൽ വ്യക്തമാക്കുമോ; ( ഡി ) സ്വകാര്യബസുകള്‍, ലോറികള്‍ എന്നിവയുടെ അമിത വേഗത്തിന് വിവിധ വകുപ്പുകളുടെ ഏകോപനത്തിലൂടെ നിയന്ത്രണമേർപ്പെടുത്തുന്നതിനും ഗതാഗത നിയമപരിപാലനം കര്‍ശനമാക്കുന്നതിനും തീരുമാനിച്ചിട്ടുണ്ടോ; എങ്കിൽ വിശദമാക്കുമോ? അതിദാരിദ്ര്യ നിര്‍മ്മാര്‍ജ്ജന പദ്ധതി",,http://www.niyamasabha.org/codes/15kla/session_13/ans/s00004-230125-13-15.pdf,http://www.niyamasabha.org/codes/15kla/session_13/qns/html/s_230125(01-30).html,,,,,
15-13-5,15,13,5,starred,2025-01-23,starred,അതിദാരിദ്ര്യ നിര്‍മ്മാര്‍ജ്ജന പദ്ധതി,ശ്രീ.കെ .ഡി .പ്രസേനൻ ശ്രീ. എം.വി.ഗോവിന്ദന്‍ മാസ്റ്റര്‍ ശ്രീ. പി. നന്ദകുമാര്‍ | ശ്രീ കെ യു ജനീഷ് കുമാർ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു തദ്ദേശ സ്വയംഭരണ - എക്സൈസ്‌ - പാര്‍ലമെന്ററികാര്യ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) ഈ സര്‍ക്കാരിന്റെ മുന്‍ഗണനാ പദ്ധതികളില്‍ 'അതിദാരിദ്ര്യ നിര്‍മ്മാര്‍ജ്ജന പദ്ധതി' ഉള്‍പ്പെടുത്തിയിട്ടുണ്ടാേ; എങ്കില്‍ ഇതുവരെ നടത്തിയ പ്രവര്‍ത്തനങ്ങളുടെ പുരാേഗതി വ്യക്തമാക്കുമാേ; ( ബി ) പ്രസ്തുത പദ്ധതിയുമായി ബന്ധപ്പെട്ട് നടത്തിയ സര്‍വേയുടെ വിശദാംശം ലഭ്യമാക്കുമോ; ( സി ) സര്‍വേയിൽ അതിദരിദ്രരായി കണ്ടെത്തിയവരിൽ എത്ര ശതമാനം പേരെ അതിദാരിദ്ര്യത്തില്‍ നിന്നും മുക്തമാക്കുന്നതിന് ഇതുവരെ കഴിഞ്ഞിട്ടുണ്ടെന്ന് വിശദമാക്കുമോ; ( ഡി ) അതിദാരിദ്ര്യ നിര്‍മ്മാര്‍ജ്ജന പ്രവര്‍ത്തനങ്ങള്‍ ഏതെല്ലാം വകുപ്പുകൾ നടത്തിവരുന്നുണ്ടെന്നും ഓരാേ വകുപ്പും എന്തെല്ലാം ചുമതലകളാണ് നിര്‍വഹിക്കുന്നതെന്നുമുള്ള വിശദാംശം ലഭ്യമാക്കുമോ; ( ഇ ) സ്വന്തമായി ഭൂമിയില്ലാത്ത അതിദരിദ്രർക്ക് വാസസ്ഥലം നല്‍കുന്നതിന് ഭൂമി കണ്ടെത്താന്‍ കഴിഞ്ഞിട്ടുണ്ടാേ; ലെെഫ് മിഷന്റെ 'മനസ്സാേടിത്തിരി മണ്ണ്' പദ്ധതി പ്രകാരം ഇവര്‍ക്ക് ഭൂമി നല്‍കുന്നതിന് നിര്‍ദ്ദേശം നല്‍കിയിട്ടുണ്ടാേ; വിശദമാക്കാമാേ? തിരുവനന്തപുരം മെട്രോ റെയില്‍ പ്രോജക്ട്,,http://www.niyamasabha.org/codes/15kla/session_13/ans/s00005-230125-13-15.pdf,http://www.niyamasabha.org/codes/15kla/session_13/qns/html/s_230125(01-30).html,,,,,
15-13-6,15,13,6,starred,2025-01-23,starred,തിരുവനന്തപുരം മെട്രോ റെയില്‍ പ്രോജക്ട്,"ശ്രീ വി കെ പ്രശാന്ത് | ശ്രീ കടകംപള്ളി സുരേന്ദ്രന്‍ | ശ്രീമതി ഒ എസ് അംബിക ശ്രീ. കെ. ആൻസലൻ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു മുഖ്യമന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) ഈ സര്‍ക്കാര്‍ വന്നശേഷം തലസ്ഥാനജില്ല എന്ന നിലയില്‍ പ്രത്യേക പരിഗണന നല്‍കി തിരുവനന്തപുരത്ത് നടത്തിവരുന്ന വിവിധ പദ്ധതികളുടെ പുരോഗതി വ്യക്തമാക്കുമോ; ( ബി ) തലസ്ഥാന വികസനത്തിന് ഏറെ ഗുണകരമാകുന്ന തിരുവനന്തപുരം മെട്രോ റെയില്‍ പ്രോജക്ടിന്റെ നിലവിലെ സ്ഥിതി എന്താണെന്നറിയിക്കുമോ; ( സി ) തിരുവനന്തപുരം മെട്രോയുടെ പ്രതീക്ഷിത നിര്‍മ്മാണച്ചെലവ് എത്രയെന്നും പദ്ധതിക്ക് കേന്ദ്ര സര്‍ക്കാരിന്റെ അംഗീകാരം ലഭിച്ചിട്ടുണ്ടോയെന്നും വ്യക്തമാക്കുമോ; ( ഡി ) തിരുവനന്തപുരം മെട്രോയുടെ ആരംഭം, അവസാനം, റൂട്ട്, സ്റ്റോപ്പുകൾ എന്നീ വിവരങ്ങൾ ലഭ്യമാക്കുമോ? നിയമവിധേയമല്ലാതെയുള്ള അവയവദാനം തടയാൻ നടപടി",,http://www.niyamasabha.org/codes/15kla/session_13/ans/s00006-230125-13-15.pdf,http://www.niyamasabha.org/codes/15kla/session_13/qns/html/s_230125(01-30).html,V K Prasanth,Communist Party Of India(Marxist),Vattiyoorkavu,കമ്മ്യൂണിസ്റ്റ് പാർട്ടി ഓഫ് ഇന്ത്യ (മാർക്സിസ്റ്റ്),വട്ടിയൂർക്കാവ്
15-13-7,15,13,7,starred,2025-01-23,starred,നിയമവിധേയമല്ലാതെയുള്ള അവയവദാനം തടയാൻ നടപടി,ശ്രീ. പി. ടി. എ. റഹീം ശ്രീ. എം.വി.ഗോവിന്ദന്‍ മാസ്റ്റര്‍ ശ്രീ. പി. നന്ദകുമാര്‍ | ശ്രീ വി ജോയി : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു മുഖ്യമന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) സംസ്ഥാനത്ത് നടന്നുവരുന്ന അവയവദാനം നീതിപൂർവ്വമാണെന്നു ഉറപ്പുവരുത്തുന്നതിന് എന്തെല്ലാം നിർദ്ദേശങ്ങളാണ് പുറപ്പെടുവിച്ചിട്ടുള്ളതെന്ന് വ്യക്തമാക്കുമോ; ( ബി ) സംസ്ഥാനത്ത് നിയമവിധേയമല്ലാതെ നടന്നതായി പറയപ്പെടുന്ന അവയവദാനം സംബന്ധിച്ച് ക്രൈംബ്രാഞ്ച് അന്വേഷണം നടത്തിയിരുന്നോ; എങ്കിൽ കണ്ടെത്തലുകൾ വിശദമാക്കാമോ; ( സി ) രാജ്യാന്തര ബന്ധങ്ങളുള്ള അവയവറാക്കറ്റിന്റെ കണ്ണികൾ സംസ്ഥാനത്ത് പ്രവർത്തിക്കുന്നതായി സൂചന ലഭിച്ചിട്ടുണ്ടോ; എങ്കിൽ ഇത് തടയുന്നതിന് കർശന നടപടി സ്വീകരിച്ചിട്ടുണ്ടോ; ( ഡി ) നിയമവിധേയമായും സുതാര്യമായും അവയവദാനം സാധ്യമാക്കുന്നതിന് എന്തെല്ലാം മുൻകരുതലുകളാണ് എടുത്തിട്ടുള്ളതെന്ന് അറിയിക്കാമോ? ആശുപത്രി മാലിന്യ സംസ്കരണം,,http://www.niyamasabha.org/codes/15kla/session_13/ans/s00007-230125-13-15.pdf,http://www.niyamasabha.org/codes/15kla/session_13/qns/html/s_230125(01-30).html,,,,,
15-13-8,15,13,8,starred,2025-01-23,starred,ആശുപത്രി മാലിന്യ സംസ്കരണം,ശ്രീ. എ. കെ. എം. അഷ്റഫ് ശ്രീ. കെ. പി. എ. മജീദ് ശ്രീ. യു. എ. ലത്തീഫ് ശ്രീ. കുറുക്കോളി മൊയ്തീൻ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു തദ്ദേശ സ്വയംഭരണ - എക്സൈസ്‌ - പാര്‍ലമെന്ററികാര്യ വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) സംസ്ഥാനത്ത് ആശുപത്രി മാലിന്യങ്ങൾ ശേഖരിക്കുന്നതിനും അവ സംസ്ക്കരിക്കുന്നതിനും എന്തെല്ലാം സംവിധാനങ്ങളാണ് നിലവിലുളളത്; ( ബി ) തദ്ദേശ സ്വയംഭരണ സ്ഥാപനങ്ങളുടെ അനുമതിയില്ലാതെ ചില കമ്പനികൾ ആശുപത്രികളുമായി കരാറുണ്ടാക്കി മാലിന്യങ്ങൾ ശേഖരിക്കുന്നതായി കണ്ടെത്തിയിട്ടുണ്ടോ; വ്യക്തമാക്കാമോ; ( സി ) അയൽസംസ്ഥാനങ്ങളിലെ ഒഴിഞ്ഞ പ്രദേശങ്ങളിൽ ആശുപത്രിമാലിന്യങ്ങൾ തളളുന്നതായി പരാതി ഉണ്ടായിട്ടുണ്ടോ; എങ്കിൽ ഇത്തരം സംഭവങ്ങൾ ആവർത്തിക്കാതിരിക്കാൻ എന്തെല്ലാം നടപടികൾ സ്വീകരിക്കാനാണുദ്ദേശിക്കുന്നതെന്ന് വിശദമാക്കുമോ? കുട്ടികളിലെ അമിത മൊബൈൽ ഫോൺ ഉപയോഗം തടയാൻ നടപടി,,http://www.niyamasabha.org/codes/15kla/session_13/ans/s00008-230125-13-15.pdf,http://www.niyamasabha.org/codes/15kla/session_13/qns/html/s_230125(01-30).html,,,,,
15-13-9,15,13,9,starred,2025-01-23,starred,കുട്ടികളിലെ അമിത മൊബൈൽ ഫോൺ ഉപയോഗം തടയാൻ നടപടി,"ശ്രീ. വി. ആർ. സുനിൽകുമാർ ശ്രീ. ഇ. ടി. ടൈസൺ മാസ്റ്റർ | ശ്രീ . മുഹമ്മദ് മുഹസിൻ ശ്രീ. വാഴൂര്‍ സോമൻ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു ആരോഗ്യ- വനിത-ശിശുവികസന വകുപ്പ് മന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) മൊബൈൽ ഫോണിന്റെ അമിതോപയോഗം ശാരീരികവും സാമൂഹികവും മാനസികവും സാമ്പത്തികവുമായ വശങ്ങളിൽ കുട്ടികളിൽ വിനാശകരമായ പ്രത്യാഘാതങ്ങൾക്ക് കാരണമാകുന്നു എന്നത് ശ്രദ്ധയിൽപ്പെട്ടിട്ടുണ്ടോ; വിശദമാക്കുമോ; ( ബി ) മണിക്കൂറുകൾ നീളുന്ന ക്ലാസ്, ഓൺലൈൻ ട്യൂഷൻ ഇങ്ങനെ കോവിഡ് കാലത്ത് തുടങ്ങിയ ശീലങ്ങളിൽ പലതും കുട്ടികൾ ഇപ്പോഴും പിന്തുടരുന്നതു മൂലവും ഓൺലൈൻ ഗെയിമുകളുടെയും സാമൂഹ്യ മാധ്യമങ്ങളുടെയും വർദ്ധിച്ചുവരുന്ന സ്വാധീനം മൂലവും കുട്ടികളിൽ പലരും മൊബൈൽ ഫോണിനോടുള്ള അമിതാസക്തിയ്ക് ഇരയാകുന്നത് പരിശോധിച്ചിട്ടുണ്ടോ; വ്യക്തമാക്കുമോ; ( സി ) കുട്ടികളും കൗമാരക്കാരും ആരോഗ്യകരമായ ഫോൺ ശീലങ്ങൾ മാതൃകയാക്കുന്നതിന് വേണ്ടിയും ആസക്തിയുടെ ഗുരുതരമായ കേസുകളിൽ ഇവർക്ക് മാനസികാരോഗ്യ പ്രൊഫഷണലുകളുടെ സഹായം ലഭ്യമാക്കുന്നതിന് വേണ്ടിയുമുള്ള നടപടികൾ സ്വീകരിച്ചിട്ടുണ്ടോ എന്നറിയിക്കുമോ; ( ഡി ) മൊബൈൽ ഫോണിനോടുള്ള അമിതാസക്തി ഉള്‍പ്പെടെയുള്ള കൗമാര ആരോഗ്യപ്രശ്നങ്ങള്‍ക്ക് 'കേരള ഹെൽത്ത് സിസ്റ്റംസ് ഇംപ്രൂവ്‌മെന്റ് പ്രോഗ്രാം' എന്ന ബൃഹത്തായ കര്‍മ്മപദ്ധതിയില്‍ മുന്‍ഗണന നല്‍കിയിട്ടുണ്ടോ; എങ്കിൽ വിശദമാക്കുമോ? ജൈവവൈവിധ്യ പരിപാലനം",,http://www.niyamasabha.org/codes/15kla/session_13/ans/s00009-230125-13-15.pdf,http://www.niyamasabha.org/codes/15kla/session_13/qns/html/s_230125(01-30).html,,,,,
15-13-10,15,13,10,starred,2025-01-23,starred,ജൈവവൈവിധ്യ പരിപാലനം,ശ്രീ സി കെ ഹരീന്ദ്രന്‍ ശ്രീ. ആന്റണി ജോൺ ശ്രീ. ടി.ഐ.മധുസൂദനന്‍ | ശ്രീ ജി സ്റ്റീഫന്‍ : താഴെ കാണുന്ന ചോദ്യങ്ങൾക്കു മുഖ്യമന്ത്രി സദയം മറുപടി പറയാമോ? ( എ ) ദുരന്തലഘൂകരണം എന്ന ലക്ഷ്യം കൈവരിക്കുന്നതിന് ജൈവവൈവിധ്യ പരിപാലനം പ്രധാനമാണെന്ന് വിലയിരുത്തിയിട്ടുണ്ടോ; എങ്കില്‍ പ്രസ്തുത ലക്ഷ്യം സാധ്യമാക്കുന്നതിന് എന്തെല്ലാം പദ്ധതികളാണ് ആവിഷ്കരിച്ചിട്ടുള്ളത്; ( ബി ) സംസ്ഥാനത്ത് ജൈവവൈവിധ്യ പരിപാലന രജിസ്റ്റര്‍ പുതുക്കുന്നതിന് നടപടി സ്വീകരിച്ചിട്ടുണ്ടോ; പുതുക്കിയ രജിസ്റ്റര്‍ പ്രകാരമുള്ള കര്‍മ്മ പദ്ധതി മഴുവന്‍ തദ്ദേശസ്വയംഭരണ സ്ഥാപനങ്ങളിലും നടപ്പാക്കുന്നതിന് നടപടി സ്വീകരിച്ചിട്ടുണ്ടോ; എങ്കില്‍ വിശദമാക്കുമോ; ( സി ) ജൈവവൈവിധ്യ പാര്‍ക്കുകള്‍ സജ്ജീകരിക്കുന്നതിന് തദ്ദേശസ്വയംഭരണ വകുപ്പ് ഇടപെടല്‍ നടത്തിവരുന്നുണ്ടോ; വിശദമാക്കുമോ? ടി. പി. വധക്കേസ് പ്രതിക്ക് പരോള്‍ അനുവദിച്ച നടപടി,,http://www.niyamasabha.org/codes/15kla/session_13/ans/s00010-230125-13-15.pdf,http://www.niyamasabha.org/codes/15kla/session_13/qns/html/s_230125(01-30).html,,,,,
